Wavelength,Decadic_Abs_coef
447.0,6272.27423
447.5,6192.03914
448.0,6111.57881
448.5,6031.01803
449.0,5950.48155
449.5,5870.09417
450.0,5789.98065
450.5,5710.26576
451.0,5631.07428
451.5,5552.53097
452.0,5474.76062
452.5,5397.888
453.0,5322.03787
453.5,5247.33502
454.0,5173.90421
454.5,5101.87022
455.0,5031.35781
455.5,4962.49178
456.0,4895.39687
456.5,4830.19788
457.0,4767.01957
457.5,4705.98118
458.0,4647.11516
458.5,4590.38514
459.0,4535.75283
459.5,4483.17998
460.0,4432.6283
460.5,4384.05952
461.0,4337.43538
461.5,4292.71759
462.0,4249.86789
462.5,4208.84801
463.0,4169.61966
463.5,4132.14459
464.0,4096.38451
464.5,4062.30115
465.0,4029.85624
465.5,3999.01151
466.0,3969.72869
466.5,3941.96949
467.0,3915.69566
467.5,3890.86892
468.0,3867.45099
468.5,3845.4036
469.0,3824.68848
469.5,3805.26736
470.0,3787.10197
470.5,3770.15403
471.0,3754.38526
471.5,3739.75741
472.0,3726.23218
472.5,3713.77132
473.0,3702.33655
473.5,3691.8896
474.0,3682.39218
474.5,3673.80604
475.0,3666.0929
475.5,3659.21449
476.0,3653.13253
476.5,3647.80875
477.0,3643.20856
477.5,3639.31614
478.0,3636.12158
478.5,3633.615
479.0,3631.78649
479.5,3630.62618
480.0,3630.12417
480.5,3630.27057
481.0,3631.05548
481.5,3632.46902
482.0,3634.50129
482.5,3637.1424
483.0,3640.38246
483.5,3644.21157
484.0,3648.61985
484.5,3653.59741
485.0,3659.13435
485.5,3665.22078
486.0,3671.84681
486.5,3679.00254
487.0,3686.67809
487.5,3694.86357
488.0,3703.54907
488.5,3712.72472
489.0,3722.38062
489.5,3732.50687
490.0,3743.09359
490.5,3754.13089
491.0,3765.60886
491.5,3777.51763
492.0,3789.8473
492.5,3802.58797
493.0,3815.72976
493.5,3829.26277
494.0,3843.17711
494.5,3857.4629
495.0,3872.11023
495.5,3887.10922
496.0,3902.44998
496.5,3918.12261
497.0,3934.11722
497.5,3950.42392
498.0,3967.03282
498.5,3983.93403
499.0,4001.11765
499.5,4018.57406
500.0,4036.30618
500.5,4054.33484
501.0,4072.68218
501.5,4091.37038
502.0,4110.4216
502.5,4129.85801
503.0,4149.70177
503.5,4169.97506
504.0,4190.70003
504.5,4211.89886
505.0,4233.5937
505.5,4255.80674
506.0,4278.56012
506.5,4301.87603
507.0,4325.77661
507.5,4350.28405
508.0,4375.42051
