Wavelength,Decadic_Abs_coef
452.0,5995.03672
452.5,5968.12554
453.0,5941.32355
453.5,5914.52413
454.0,5887.62072
454.5,5860.5067
455.0,5833.07551
455.5,5805.25798
456.0,5777.09559
456.5,5748.65026
457.0,5719.98389
457.5,5691.15838
458.0,5662.23564
458.5,5633.27758
459.0,5604.34609
459.5,5575.50308
460.0,5546.81046
460.5,5518.33012
461.0,5490.12398
461.5,5462.25394
462.0,5434.7819
462.5,5407.76976
463.0,5381.27944
463.5,5355.37282
464.0,5330.11183
464.5,5305.55836
465.0,5281.77431
465.5,5258.8216
466.0,5236.76212
466.5,5215.65778
467.0,5195.57048
467.5,5176.56213
468.0,5158.69463
468.5,5142.02989
469.0,5126.62981
469.5,5112.55629
470.0,5099.86842
470.5,5088.5681
471.0,5078.60399
471.5,5069.92268
472.0,5062.47081
472.5,5056.19498
473.0,5051.04181
473.5,5046.95792
474.0,5043.88991
474.5,5041.78442
475.0,5040.58804
475.5,5040.24741
476.0,5040.70913
476.5,5041.91981
477.0,5043.82608
477.5,5046.37455
478.0,5049.51183
478.5,5053.18454
479.0,5057.3393
479.5,5061.92272
480.0,5066.88142
480.5,5072.16201
481.0,5077.71111
481.5,5083.47533
482.0,5089.40129
482.5,5095.4356
483.0,5101.52488
483.5,5107.61589
484.0,5113.68387
484.5,5119.76716
485.0,5125.91253
485.5,5132.16679
486.0,5138.57671
486.5,5145.18909
487.0,5152.05072
487.5,5159.20838
488.0,5166.70885
488.5,5174.59894
489.0,5182.92542
489.5,5191.73509
490.0,5201.07473
490.5,5210.99113
491.0,5221.53108
491.5,5232.74137
492.0,5244.66879
492.5,5257.36011
493.0,5270.86214
493.5,5285.22166
494.0,5300.48546
494.5,5316.70032
495.0,5333.91304
495.5,5352.1704
496.0,5371.51919
496.5,5392.00619
497.0,5413.67821
497.5,5436.58202
498.0,5460.76441
498.5,5486.27155
499.0,5513.13979
499.5,5541.39765
500.0,5571.07348
500.5,5602.19558
501.0,5634.79229
501.5,5668.89191
502.0,5704.52279
502.5,5741.71322
503.0,5780.49155
503.5,5820.8861
504.0,5862.92517
504.5,5906.6371
505.0,5952.05021
505.5,5999.19283
506.0,6048.09326
506.5,6098.77984
507.0,6151.28089
507.5,6205.62473
508.0,6261.83968
508.5,6319.95407
509.0,6379.99622
509.5,6441.99444
510.0,6505.97706
510.5,6571.97241
511.0,6640.00881
511.5,6710.11457
512.0,6782.31803
512.5,6856.64749
513.0,6933.1313
513.5,7011.79776
514.0,7092.6752
514.5,7175.79194
515.0,7261.17631
515.5,7348.85662
516.0,7438.8612
516.5,7531.21837
517.0,7625.95646
517.5,7723.10378
518.0,7822.68867
518.5,7924.73943
519.0,8029.28439
519.5,8136.35188
520.0,8245.97022
520.5,8358.16772
521.0,8472.97272
521.5,8590.41353
522.0,8710.51848
522.5,8833.31443
523.0,8958.81001
523.5,9087.00133
524.0,9217.8843
524.5,9351.4548
525.0,9487.70871
525.5,9626.64194
526.0,9768.25037
526.5,9912.52988
527.0,10059.47638
527.5,10209.08575
528.0,10361.35387
528.5,10516.27664
529.0,10673.84995
529.5,10834.06969
530.0,10996.93175
530.5,11162.43201
531.0,11330.56637
531.5,11501.33072
532.0,11674.72095
532.5,11850.73294
533.0,12029.36259
533.5,12210.60578
534.0,12394.45841
534.5,12580.91637
535.0,12769.97554
535.5,12961.63182
536.0,13155.88109
536.5,13352.71925
537.0,13552.14218
537.5,13754.14577
538.0,13958.72592
538.5,14165.87852
539.0,14375.59944
539.5,14587.88459
540.0,14802.72986
540.5,15020.13112
541.0,15240.08428
541.5,15462.58522
542.0,15687.62983
542.5,15915.21401
543.0,16145.33363
543.5,16377.9846
544.0,16613.1628
544.5,16850.86412
545.0,17091.08445
545.5,17333.81499
546.0,17579.01064
546.5,17826.6094
547.0,18076.54916
547.5,18328.76781
548.0,18583.20323
548.5,18839.79333
549.0,19098.47599
549.5,19359.18911
550.0,19621.87057
550.5,19886.45827
551.0,20152.8901
551.5,20421.10395
552.0,20691.03772
552.5,20962.62929
553.0,21235.81656
553.5,21510.53741
554.0,21786.72975
554.5,22064.33146
555.0,22343.28043
555.5,22623.51456
556.0,22904.97173
556.5,23187.58984
557.0,23471.30679
557.5,23756.06045
558.0,24041.78873
558.5,24328.42952
559.0,24615.9207
559.5,24904.20018
560.0,25193.20583
560.5,25482.87555
561.0,25773.14724
561.5,26063.96056
562.0,26355.28453
562.5,26647.11226
563.0,26939.43763
563.5,27232.25446
564.0,27525.55662
564.5,27819.33794
565.0,28113.59228
565.5,28408.31349
566.0,28703.49542
566.5,28999.13191
567.0,29295.21681
567.5,29591.74397
568.0,29888.70724
568.5,30186.10047
569.0,30483.9175
569.5,30782.15219
570.0,31080.79838
570.5,31379.84992
571.0,31679.30066
571.5,31979.14445
572.0,32279.37513
572.5,32579.98657
573.0,32880.97259
573.5,33182.32706
574.0,33484.04381
574.5,33786.11671
575.0,34088.5396
575.5,34391.30632
576.0,34694.41072
576.5,34997.84666
577.0,35301.60798
577.5,35605.68853
578.0,35910.08215
578.5,36214.78271
579.0,36519.78404
579.5,36825.07999
580.0,37130.66442
580.5,37436.53116
581.0,37742.67408
581.5,38049.08701
582.0,38355.76381
582.5,38662.69832
583.0,38969.8844
583.5,39277.3274
584.0,39585.11424
584.5,39893.3671
585.0,40202.20831
585.5,40511.76019
586.0,40822.14504
586.5,41133.48519
587.0,41445.90297
587.5,41759.52068
588.0,42074.46064
588.5,42390.84518
589.0,42708.79662
589.5,43028.43726
590.0,43349.88944
590.5,43673.27547
591.0,43998.71766
591.5,44326.33834
592.0,44656.25983
592.5,44988.60444
593.0,45323.4945
593.5,45661.05232
594.0,46001.40022
594.5,46344.66051
595.0,46690.95553
595.5,47040.40758
596.0,47393.13899
596.5,47749.27207
597.0,48108.92915
597.5,48472.23253
598.0,48839.30455
598.5,49210.26752
599.0,49585.24375
