wl,k
3570.9,0.00923
3580.7,0.00941
3590.7,0.00957
3600.6,0.00969
3610.7,0.0094
3620.7,0.009
3630.9,0.00904
3641.1,0.00946
3651.3,0.00976
3661.7,0.00984
3672,0.00978
3682.5,0.00977
3693,0.01
3703.5,0.0104
3714.1,0.0108
3724.8,0.0109
3735.5,0.0107
3746.3,0.0104
3757.2,0.00997
3768.1,0.00951
3779.1,0.00935
3790.1,0.00958
3801.3,0.00981
3812.4,0.00979
3823.7,0.0097
3835,0.00988
3846.4,0.0103
3857.8,0.0107
3869.3,0.0106
3880.9,0.0101
3892.6,0.00951
3904.3,0.0092
3916.1,0.00925
3928,0.0095
3939.9,0.00969
3951.9,0.00984
3964,0.0101
3976.2,0.0103
3988.4,0.0101
4000.7,0.00994
4013.1,0.00987
4025.5,0.00983
4038.1,0.00989
4050.7,0.00997
4063.4,0.0102
4076.2,0.0103
4089,0.0103
4102,0.0103
4115,0.0105
4128.1,0.0106
4141.3,0.0105
4154.6,0.0102
4167.9,0.00997
4181.4,0.00993
4194.9,0.0101
4208.5,0.0104
4222.2,0.0107
4236,0.0104
4249.9,0.00963
4263.9,0.00997
4278,0.0101
4292.1,0.00956
4306.4,0.00938
4320.8,0.0095
4335.2,0.00933
4349.8,0.00925
4364.4,0.00935
4379.1,0.00941
4394,0.00914
4408.9,0.00882
4424,0.00889
4439.1,0.00907
4454.4,0.00916
4469.7,0.0092
4485.2,0.0091
4500.8,0.0089
4516.5,0.00881
4532.3,0.00885
4548.2,0.00891
4564.2,0.0091
4580.3,0.00926
4596.5,0.00932
4612.9,0.00917
4629.4,0.00885
4646,0.00869
4662.7,0.0088
4679.5,0.00881
4696.5,0.00868
4713.6,0.00864
4730.8,0.00859
4748.1,0.00849
4765.5,0.00859
4783.1,0.00863
4800.8,0.00864
4818.7,0.00877
4836.7,0.00886
4854.8,0.0088
4873,0.00871
4891.4,0.00881
4910,0.00917
4928.6,0.00931
4947.4,0.00925
4966.4,0.00917
4985.5,0.0092
5004.7,0.00924
5024.1,0.00901
5043.7,0.0088
5063.4,0.0088
5083.2,0.00896
5103.3,0.00918
5123.4,0.00934
5143.8,0.00925
5164.3,0.00949
5184.9,0.00995
5205.7,0.0101
5226.7,0.00999
5247.9,0.0101
5269.2,0.00991
5290.7,0.00956
5312.4,0.00918
5334.3,0.00889
5356.3,0.00872
5378.5,0.0088
5400.9,0.00913
5423.5,0.00912
5446.3,0.00892
5469.3,0.00922
5492.5,0.01
5515.9,0.0112
5539.4,0.0136
5563.2,0.0197
5587.2,0.0425
5611.4,0.0742
5635.8,0.0763
5660.4,0.0491
5685.2,0.0335
5710.3,0.0401
5735.5,0.0945
5761,0.276
5786.7,0.453
5812.7,0.43
5838.9,0.243
5865.3,0.113
5891.9,0.0619
5918.8,0.0404
5946,0.0303
5973.4,0.0241
6001.1,0.0211
6029,0.019
6057.1,0.0183
6085.6,0.0195
6114.3,0.0278
6143.3,0.0492
6172.5,0.069
6202,0.0824
6231.9,0.104
6262,0.101
6292.4,0.0635
6323.1,0.0345
6354.1,0.0218
6385.4,0.0169
6417,0.0156
6448.9,0.0154
6481.1,0.0154
6513.7,0.0154
6546.6,0.0172
6579.8,0.0289
6613.4,0.0736
6647.3,0.146
6681.6,0.163
6716.2,0.154
6751.2,0.176
6786.5,0.161
6822.3,0.105
6858.3,0.0948
6894.8,0.109
6931.7,0.0987
6969,0.0643
7006.6,0.0376
7044.7,0.0307
7083.2,0.0331
7122.1,0.04
7161.5,0.0669
7201.3,0.12
7241.5,0.165
7282.2,0.22
7323.3,0.315
7364.9,0.357
7407,0.28
7449.6,0.167
7492.6,0.096
7536.2,0.0609
7580.3,0.0481
7624.9,0.0493
7670,0.0582
7715.6,0.0874
7761.8,0.147
7808.6,0.217
7855.9,0.244
7903.8,0.207
7952.3,0.152
8001.4,0.166
8051.1,0.239
8101.4,0.248
8152.4,0.178
8204,0.133
8256.2,0.105
8309.1,0.0656
8362.8,0.0401
8417.1,0.0402
8472.1,0.0574
8527.8,0.0665
8584.3,0.0542
8641.5,0.041
8699.5,0.0344
8758.3,0.0276
8817.9,0.0239
8878.3,0.0299
8939.5,0.0546
9001.6,0.0966
9064.5,0.122
9128.4,0.109
9193.1,0.0955
9258.8,0.0997
9325.4,0.0941
9393,0.0672
9461.5,0.0399
9531.1,0.0247
9601.7,0.0181
9673.3,0.0153
9746.1,0.0228
9819.9,0.0417
9894.9,0.0411
9971,0.022
10048,0.0133
10127,0.013
10207,0.0122
10288,0.0137
10370,0.0173
10453,0.0191
10538,0.0186
10625,0.0166
10713,0.0216
10802,0.0375
10893,0.043
10985,0.0339
11079,0.0315
11174,0.0355
11272,0.038
11370,0.0393
11471,0.044
11573,0.0696
11678,0.118
11784,0.148
11892,0.131
12002,0.0913
12114,0.0595
12229,0.0426
12345,0.0316
12464,0.0303
12585,0.042
12708,0.0634
12834,0.0757
12962,0.0576
13093,0.0336
13227,0.0476
13363,0.0972
13502,0.101
13645,0.0532
13790,0.0277
13938,0.0222
14089,0.0223
14244,0.0298
