wl,k
866.18,0.00131
867.75,0.00129
869.31,0.00128
870.87,0.00127
872.43,0.00126
873.99,0.00124
875.55,0.00123
877.11,0.00122
878.66,0.00121
880.22,0.0012
881.78,0.00119
883.34,0.00117
884.9,0.00116
886.46,0.00115
888.02,0.00114
889.57,0.00113
891.13,0.00112
892.69,0.00111
894.25,0.0011
895.8,0.00109
897.36,0.00108
898.92,0.00107
900.47,0.00106
902.03,0.00105
903.59,0.00104
905.14,0.00103
906.7,0.00102
908.25,0.00101
909.81,0.001
911.36,9.94E-4
912.92,9.85E-4
914.47,9.76E-4
916.02,9.67E-4
917.58,9.59E-4
919.13,9.5E-4
920.69,9.42E-4
922.24,9.34E-4
923.79,9.26E-4
925.35,9.18E-4
926.9,9.1E-4
928.45,9.02E-4
930,8.94E-4
931.55,8.87E-4
933.11,8.79E-4
934.66,8.72E-4
936.21,8.64E-4
937.76,8.57E-4
939.31,8.5E-4
940.86,8.42E-4
942.41,8.35E-4
943.96,8.28E-4
945.51,8.22E-4
947.06,8.15E-4
948.61,8.08E-4
950.16,8.01E-4
951.71,7.95E-4
953.26,7.88E-4
954.81,7.82E-4
956.35,7.75E-4
957.9,7.69E-4
959.45,7.63E-4
961,7.57E-4
962.55,7.5E-4
964.09,7.44E-4
965.64,7.38E-4
967.19,7.32E-4
968.73,7.27E-4
970.28,7.21E-4
971.82,7.15E-4
973.37,7.09E-4
974.92,7.04E-4
976.46,6.98E-4
978.01,6.93E-4
979.55,6.87E-4
981.09,6.82E-4
982.64,6.77E-4
984.18,6.71E-4
985.73,6.66E-4
987.27,6.61E-4
988.81,6.56E-4
990.36,6.51E-4
991.9,6.46E-4
993.44,6.41E-4
994.98,6.36E-4
996.53,6.31E-4
998.07,6.26E-4
999.61,6.22E-4
1012.27,5.84E-4
1015.67,5.75E-4
1019.08,5.65E-4
1022.48,5.56E-4
1025.88,5.47E-4
1029.29,5.39E-4
1032.69,5.3E-4
1036.09,5.22E-4
1039.5,5.14E-4
1042.9,5.05E-4
1046.3,4.98E-4
1049.7,4.9E-4
1053.11,4.82E-4
1056.51,4.75E-4
1059.91,4.68E-4
1063.31,4.61E-4
1066.71,4.54E-4
1070.11,4.47E-4
1073.52,4.4E-4
1076.92,4.34E-4
1080.32,4.27E-4
1083.72,4.21E-4
1087.12,4.15E-4
1090.52,4.09E-4
1093.92,4.03E-4
1097.33,3.97E-4
1100.73,3.91E-4
1104.13,3.86E-4
1107.53,3.8E-4
1110.93,3.75E-4
1114.33,3.7E-4
1117.73,3.65E-4
1121.13,3.59E-4
1124.53,3.54E-4
1127.94,3.5E-4
1131.34,3.45E-4
1134.74,3.4E-4
1138.14,3.35E-4
1141.54,3.31E-4
1144.94,3.26E-4
1148.34,3.22E-4
1151.75,3.18E-4
1155.15,3.14E-4
1158.55,3.09E-4
1161.95,3.05E-4
1165.35,3.01E-4
1168.76,2.97E-4
1172.16,2.94E-4
1175.56,2.9E-4
1178.96,2.86E-4
1182.37,2.82E-4
1185.77,2.79E-4
1189.17,2.75E-4
1192.58,2.72E-4
1195.98,2.68E-4
1199.38,2.65E-4
1202.79,2.62E-4
1206.19,2.59E-4
1209.6,2.55E-4
1213,2.52E-4
1216.41,2.49E-4
1219.81,2.46E-4
1223.22,2.43E-4
1226.62,2.4E-4
1230.03,2.37E-4
1233.43,2.35E-4
1236.84,2.32E-4
1240.25,2.29E-4
1243.65,2.26E-4
1247.06,2.24E-4
1250.47,2.21E-4
1253.88,2.19E-4
1257.29,2.16E-4
1260.69,2.14E-4
1264.1,2.11E-4
1267.51,2.09E-4
1270.92,2.06E-4
1274.33,2.04E-4
1277.74,2.02E-4
1281.15,1.99E-4
1284.56,1.97E-4
1287.98,1.95E-4
1291.39,1.93E-4
1294.8,1.91E-4
1298.21,1.89E-4
1301.63,1.87E-4
1305.04,1.85E-4
1308.45,1.83E-4
1311.87,1.81E-4
1315.28,1.79E-4
1318.7,1.77E-4
1322.12,1.75E-4
1325.53,1.73E-4
1328.95,1.71E-4
1332.37,1.69E-4
1335.78,1.68E-4
1339.2,1.66E-4
1342.62,1.64E-4
1346.04,1.63E-4
1349.46,1.61E-4
1352.88,1.59E-4
1356.3,1.58E-4
1359.72,1.56E-4
1363.15,1.54E-4
1366.57,1.53E-4
1369.99,1.51E-4
1373.42,1.5E-4
1376.84,1.48E-4
1380.27,1.47E-4
1383.69,1.45E-4
1387.12,1.44E-4
1390.55,1.43E-4
1393.97,1.41E-4
1397.4,1.4E-4
1400.83,1.39E-4
1404.26,1.37E-4
1407.69,1.36E-4
1411.12,1.35E-4
1414.55,1.33E-4
1417.98,1.32E-4
1421.42,1.31E-4
1424.85,1.3E-4
1428.29,1.28E-4
1431.72,1.27E-4
1435.16,1.26E-4
1438.59,1.25E-4
1442.03,1.24E-4
1445.47,1.23E-4
1448.91,1.21E-4
1452.35,1.2E-4
1455.79,1.19E-4
1459.23,1.18E-4
1462.67,1.17E-4
1466.11,1.16E-4
1469.56,1.15E-4
1473,1.14E-4
1476.44,1.13E-4
1479.89,1.12E-4
1483.34,1.11E-4
1486.78,1.1E-4
1490.23,1.09E-4
1493.68,1.08E-4
1497.13,1.07E-4
1500.58,1.06E-4
1504.04,1.05E-4
1507.49,1.05E-4
1510.94,1.04E-4
1514.4,1.03E-4
1517.85,1.02E-4
1521.31,1.01E-4
1524.76,1E-4
1528.22,9.9E-5
1531.68,9.9E-5
1535.14,9.8E-5
1538.6,9.7E-5
1542.06,9.6E-5
1545.53,9.5E-5
1548.99,9.5E-5
1552.46,9.4E-5
1555.92,9.3E-5
1559.39,9.2E-5
1562.86,9.2E-5
1566.33,9.1E-5
1569.8,9E-5
1573.27,8.9E-5
1576.74,8.9E-5
1580.21,8.8E-5
1583.69,8.7E-5
1587.16,8.7E-5
1590.64,8.6E-5
1594.11,8.5E-5
1597.59,8.5E-5
1601.07,8.4E-5
1604.55,8.3E-5
1608.03,8.3E-5
1611.52,8.2E-5
1615,8.1E-5
1618.49,8.1E-5
1621.97,8E-5
1625.46,8E-5
1628.95,7.9E-5
1632.44,7.8E-5
1635.93,7.8E-5
1639.42,7.7E-5
1642.91,7.7E-5
1646.41,7.6E-5
1649.9,7.6E-5
1653.4,7.5E-5
1656.9,7.4E-5
1660.39,7.4E-5
1663.89,7.3E-5
1667.4,7.3E-5
1670.9,7.2E-5
1674.4,7.2E-5
1677.91,7.1E-5
1681.41,7.1E-5
1684.92,7E-5
