wl,k
3630.9,0.00176
3641.1,0.00162
3651.3,0.00169
3661.7,0.002
3672,0.00224
3682.5,0.00231
3693,0.00215
3703.5,0.00169
3714.1,0.00137
3724.8,0.00142
3735.5,0.00182
3746.3,0.00213
3757.2,0.0022
3768.1,0.00206
3779.1,0.00186
3790.1,0.00185
3801.3,0.00182
3812.4,0.00177
3823.7,0.00176
3835,0.00173
3846.4,0.0017
3857.8,0.00169
3869.3,0.00181
3880.9,0.00198
3892.6,0.00223
3904.3,0.00232
3916.1,0.00219
3928,0.00212
3939.9,0.00194
3951.9,0.00163
3964,0.00147
3976.2,0.00149
3988.4,0.00173
4000.7,0.0021
4013.1,0.0022
4025.5,0.00202
4038.1,0.00199
4050.7,0.00212
4063.4,0.00201
4076.2,0.00183
4089,0.00174
4102,0.00181
4115,0.00203
4128.1,0.00207
4141.3,0.00191
4154.6,0.0018
4167.9,0.00177
4181.4,0.00194
4194.9,0.00216
4208.5,0.00214
4222.2,0.00185
4236,0.0023
4249.9,0.00242
4263.9,0.00252
4278,0.00204
4292.1,0.00165
4306.4,0.00126
4320.8,0.0014
4335.2,0.00178
4349.8,0.00194
4364.4,0.00207
4379.1,0.00208
4394,0.00207
4408.9,0.00216
4424,0.00226
4439.1,0.00211
4454.4,0.00203
4469.7,0.00211
4485.2,0.00208
4500.8,0.00205
4516.5,0.00195
4532.3,0.00176
4548.2,0.00157
4564.2,0.00143
4580.3,0.00143
4596.5,0.00137
4612.9,0.00142
4629.4,0.00165
4646,0.00179
4662.7,0.00176
4679.5,0.00179
4696.5,0.00192
4713.6,0.00189
4730.8,0.00166
4748.1,0.00146
4765.5,0.00146
4783.1,0.00151
4800.8,0.00171
4818.7,0.00187
4836.7,0.00148
4854.8,0.00127
4873,0.00146
4891.4,0.00163
4910,0.00176
4928.6,0.00158
4947.4,0.00144
4966.4,0.0017
4985.5,0.00174
5004.7,0.00183
5024.1,0.00203
5043.7,0.00167
5063.4,0.00155
5083.2,0.00189
5103.3,0.00207
5123.4,0.00205
5143.8,0.00202
5164.3,0.00217
5184.9,0.00208
5205.7,0.00198
5226.7,0.00178
5247.9,0.00159
5269.2,0.0016
5290.7,0.00193
5312.4,0.00231
5334.3,0.00188
5356.3,0.0016
5378.5,0.00181
5400.9,0.0018
5423.5,0.00201
5446.3,0.00232
5469.3,0.00224
5492.5,0.00211
5515.9,0.00218
5539.4,0.00218
5563.2,0.00205
5587.2,0.00214
5611.4,0.00222
5635.8,0.00264
5660.4,0.00325
5685.2,0.00348
5710.3,0.00446
5735.5,0.00722
5761,0.011
5786.7,0.013
5812.7,0.0118
5838.9,0.0082
5865.3,0.00513
5891.9,0.00332
5918.8,0.00286
5946,0.00257
5973.4,0.00252
6001.1,0.00264
6029,0.0026
6057.1,0.00257
6085.6,0.00221
6114.3,0.00164
6143.3,0.00195
6172.5,0.00214
6202,0.00204
6231.9,0.00264
6262,0.00287
6292.4,0.00263
6323.1,0.00271
6354.1,0.00258
6385.4,0.00233
6417,0.00224
6448.9,0.00231
6481.1,0.00249
6513.7,0.00271
6546.6,0.00235
6579.8,0.00176
6613.4,0.00162
6647.3,0.00187
6681.6,0.00276
6716.2,0.00338
6751.2,0.00325
6786.5,0.00435
6822.3,0.00628
6858.3,0.00756
6894.8,0.0104
6931.7,0.0205
6969,0.0348
7006.6,0.0376
7044.7,0.0259
7083.2,0.0129
7122.1,0.00699
7161.5,0.00659
7201.3,0.00898
7241.5,0.0113
7282.2,0.0124
7323.3,0.0136
7364.9,0.016
7407,0.0188
7449.6,0.0248
7492.6,0.0325
7536.2,0.034
7580.3,0.0292
7624.9,0.0246
7670,0.0233
7715.6,0.0234
7761.8,0.0242
7808.6,0.0269
7855.9,0.0343
7903.8,0.0474
7952.3,0.0588
8001.4,0.0597
8051.1,0.0538
8101.4,0.0451
8152.4,0.0326
8204,0.0224
8256.2,0.0201
8309.1,0.0226
8362.8,0.0238
8417.1,0.0198
8472.1,0.0145
8527.8,0.0124
8584.3,0.012
8641.5,0.0112
8699.5,0.0101
8758.3,0.00983
8817.9,0.0116
8878.3,0.0149
8939.5,0.0172
9001.6,0.0201
9064.5,0.0231
9128.4,0.0235
9193.1,0.0217
9258.8,0.0209
9325.4,0.0199
9393,0.017
9461.5,0.0149
9531.1,0.013
9601.7,0.0123
9673.3,0.0129
9746.1,0.0141
9819.9,0.0147
9894.9,0.0144
9971,0.0155
10048,0.0187
10127,0.0228
10207,0.0298
10288,0.0372
10370,0.0407
10453,0.0376
10538,0.031
10625,0.0249
10713,0.0214
10802,0.0203
10893,0.0192
10985,0.0165
11079,0.0137
11174,0.0128
11272,0.0125
11370,0.0124
11471,0.012
11573,0.0122
11678,0.0124
11784,0.0126
11892,0.0131
12002,0.0116
12114,0.00779
12229,0.00406
12345,0.00319
12464,0.00404
12585,0.00393
12708,0.00533
12834,0.00553
12962,0.00486
13093,0.00532
13227,0.0063
13363,0.00678
13502,0.00851
13645,0.0115
13790,0.0132
13938,0.018
14089,0.0282
14244,0.0374
14403,0.0432
14564,0.0438
14730,0.0389
14899,0.0335
15072,0.0321
15250,0.0401
15431,0.0565
15617,0.0718
15808,0.0787
16003,0.0805
16203,0.0809
16408,0.0723
16618,0.0505
16834,0.0297
17056,0.0201
17283,0.0163
17517,0.0134
17757,0.0107
18003,0.01
18257,0.0137
18518,0.016
18786,0.0125
19062,0.00981
19347,0.00757
19640,0.00541
19942,0.0056
