wl,k
3590.7,0.00191
3600.6,0.00178
3610.7,0.0018
3620.7,0.00194
3630.9,0.00183
3641.1,0.00163
3651.3,0.00159
3661.7,0.0017
3672,0.00173
3682.5,0.00144
3693,0.00107
3703.5,0.00105
3714.1,0.00131
3724.8,0.00151
3735.5,0.00142
3746.3,0.00124
3757.2,0.00114
3768.1,0.00117
3779.1,0.00129
3790.1,0.00139
3801.3,0.0014
3812.4,0.00141
3823.7,0.00147
3835,0.00156
3846.4,0.00166
3857.8,0.00161
3869.3,0.00124
3880.9,0.00112
3892.6,0.0013
3904.3,0.00158
3916.1,0.00174
3928,0.00171
3939.9,0.0016
3951.9,0.00151
3964,0.00146
3976.2,0.00136
3988.4,0.00129
4000.7,0.00135
4013.1,0.00157
4025.5,0.0017
4038.1,0.0015
4050.7,0.00114
4063.4,0.0011
4076.2,0.00124
4089,0.00133
4102,0.00155
4115,0.00186
4128.1,0.00194
4141.3,0.00197
4154.6,0.00209
4167.9,0.00223
4181.4,0.00246
4194.9,0.00274
4208.5,0.00289
4222.2,0.00328
4236,0.0031
4249.9,0.00301
4263.9,0.00291
4278,0.00191
4292.1,9.82E-4
4306.4,0.00122
4320.8,0.00143
4335.2,0.00165
4349.8,0.00189
4364.4,0.00203
4379.1,0.00209
4394,0.00199
4408.9,0.00189
4424,0.0018
4439.1,0.00172
4454.4,0.00179
4469.7,0.00199
4485.2,0.0022
4500.8,0.00212
4516.5,0.00184
4532.3,0.00165
4548.2,0.00151
4564.2,0.00167
4580.3,0.002
4596.5,0.00211
4612.9,0.00211
4629.4,0.0021
4646,0.00219
4662.7,0.00242
4679.5,0.00262
4696.5,0.00257
4713.6,0.00247
4730.8,0.00265
4748.1,0.00261
4765.5,0.00245
4783.1,0.00255
4800.8,0.00249
4818.7,0.00205
4836.7,0.0018
4854.8,0.00191
4873,0.00182
4891.4,0.00176
4910,0.00191
4928.6,0.00187
4947.4,0.00179
4966.4,0.00213
4985.5,0.00257
5004.7,0.0029
5024.1,0.00314
5043.7,0.00327
5063.4,0.00323
5083.2,0.00349
5103.3,0.00434
5123.4,0.0049
5143.8,0.00474
5164.3,0.00411
5184.9,0.00343
5205.7,0.00297
5226.7,0.00283
5247.9,0.00281
5269.2,0.00249
5290.7,0.00231
5312.4,0.00252
5334.3,0.00259
5356.3,0.00272
5378.5,0.00291
5400.9,0.00351
5423.5,0.00454
5446.3,0.00526
5469.3,0.00598
5492.5,0.00649
5515.9,0.00669
5539.4,0.00713
5563.2,0.00767
5587.2,0.00835
5611.4,0.00953
5635.8,0.0115
5660.4,0.0159
5685.2,0.0246
5710.3,0.0564
5735.5,0.176
5761,0.384
