Wavelength,Decadic_Abs_coef
445.0,30994.03424
445.5,31000.01719
446.0,31008.82373
446.5,31020.30494
447.0,31034.31189
447.5,31050.69567
448.0,31069.30736
448.5,31089.99803
449.0,31112.61876
449.5,31137.02063
450.0,31163.05473
450.5,31190.57212
451.0,31219.42389
451.5,31249.46112
452.0,31280.53488
452.5,31312.49626
453.0,31345.19633
453.5,31378.48618
454.0,31412.21687
454.5,31446.2395
455.0,31480.40514
455.5,31514.56486
456.0,31548.56975
456.5,31582.27088
457.0,31615.51935
457.5,31648.16621
458.0,31680.06256
458.5,31711.05946
459.0,31741.00926
459.5,31769.87177
460.0,31797.79543
460.5,31824.94779
461.0,31851.49639
461.5,31877.60878
462.0,31903.4525
462.5,31929.1951
463.0,31955.00412
463.5,31981.04711
464.0,32007.49161
464.5,32034.50517
465.0,32062.25533
465.5,32090.90964
466.0,32120.63563
466.5,32151.60087
467.0,32183.97289
467.5,32217.91923
468.0,32253.60744
468.5,32291.20507
469.0,32330.87967
469.5,32372.79876
470.0,32417.12991
470.5,32464.04066
471.0,32513.69854
471.5,32566.27111
472.0,32621.92591
472.5,32680.83049
473.0,32743.15238
473.5,32809.05915
474.0,32878.71832
474.5,32952.29744
475.0,33029.96407
475.5,33111.88574
476.0,33198.22998
476.5,33289.09919
477.0,33384.38831
477.5,33483.95102
478.0,33587.64102
478.5,33695.31199
479.0,33806.81763
479.5,33922.01163
480.0,34040.74768
480.5,34162.87947
481.0,34288.2607
481.5,34416.74504
482.0,34548.1862
482.5,34682.43787
483.0,34819.35373
483.5,34958.78748
484.0,35100.59281
484.5,35244.62341
485.0,35390.73297
485.5,35538.77518
486.0,35688.60373
486.5,35840.07231
487.0,35993.03463
487.5,36147.34435
488.0,36302.85519
488.5,36459.42082
489.0,36616.89494
489.5,36775.13124
490.0,36933.98341
490.5,37093.30514
491.0,37252.95013
491.5,37412.77206
492.0,37572.62463
492.5,37732.36152
493.0,37891.83644
493.5,38050.9177
494.0,38209.60518
494.5,38367.9682
495.0,38526.07671
495.5,38684.00068
496.0,38841.81006
496.5,38999.5748
497.0,39157.36487
497.5,39315.25022
498.0,39473.30081
498.5,39631.58659
499.0,39790.17753
499.5,39949.14357
500.0,40108.55467
500.5,40268.4808
501.0,40428.9919
501.5,40590.15794
502.0,40752.04887
502.5,40914.73465
503.0,41078.28523
503.5,41242.77058
504.0,41408.26064
504.5,41574.82538
505.0,41742.53475
505.5,41911.45872
506.0,42081.66722
506.5,42253.23023
507.0,42426.2177
507.5,42600.69958
508.0,42776.74584
508.5,42954.42642
509.0,43133.81129
509.5,43314.97041
510.0,43497.97372
510.5,43682.89119
511.0,43869.79278
511.5,44058.74843
512.0,44249.82811
512.5,44443.10178
513.0,44638.63938
513.5,44836.51088
514.0,45036.78624
514.5,45239.5354
515.0,45444.82834
515.5,45652.735
516.0,45863.32533
516.5,46076.66931
517.0,46292.83688
517.5,46511.898
518.0,46733.92263
518.5,46958.98073
519.0,47187.14224
519.5,47418.47713
520.0,47653.01982
520.5,47890.66625
521.0,48131.27869
521.5,48374.7194
522.0,48620.85062
522.5,48869.53462
523.0,49120.63365
523.5,49374.00997
524.0,49629.52584
524.5,49887.0435
525.0,50146.42522
525.5,50407.53325
526.0,50670.22985
526.5,50934.37728
527.0,51199.83779
527.5,51466.47363
528.0,51734.14707
528.5,52002.72035
529.0,52272.05574
529.5,52542.0155
530.0,52812.46187
530.5,53083.25711
531.0,53354.26349
531.5,53625.34325
532.0,53896.35866
532.5,54167.17196
533.0,54437.64542
533.5,54707.64129
534.0,54977.02182
534.5,55245.64928
535.0,55513.38592
535.5,55780.094
536.0,56045.63576
536.5,56309.87348
537.0,56572.6694
537.5,56833.88578
538.0,57093.38487
538.5,57351.02894
539.0,57606.68024
539.5,57860.23489
540.0,58111.76589
540.5,58361.40376
541.0,58609.27903
541.5,58855.52226
542.0,59100.26399
542.5,59343.63477
543.0,59585.76515
543.5,59826.78567
544.0,60066.82688
544.5,60306.01933
545.0,60544.49356
545.5,60782.38013
546.0,61019.80958
546.5,61256.91245
547.0,61493.81929
547.5,61730.66066
548.0,61967.56709
548.5,62204.66913
