Wavelength,Decadic_Abs_coef
441.0,35368.52998
441.5,35346.86222
442.0,35322.98736
442.5,35297.34473
443.0,35270.37362
443.5,35242.51336
444.0,35214.20327
444.5,35185.88265
445.0,35157.99082
445.5,35130.9671
446.0,35105.25079
446.5,35081.28123
447.0,35059.49771
447.5,35040.33955
448.0,35024.24607
448.5,35011.65658
449.0,35003.0104
449.5,34998.74685
450.0,34999.30522
450.5,35005.12485
451.0,35016.64487
451.5,35034.08854
452.0,35057.04119
452.5,35084.97088
453.0,35117.34568
453.5,35153.63367
454.0,35193.3029
454.5,35235.82144
455.0,35280.65737
455.5,35327.27875
456.0,35375.15365
456.5,35423.75014
457.0,35472.53628
457.5,35520.98014
458.0,35568.5498
458.5,35614.71331
459.0,35658.93874
459.5,35700.69417
460.0,35739.44766
460.5,35774.76769
461.0,35806.8409
461.5,35836.08907
462.0,35862.93441
462.5,35887.79913
463.0,35911.10544
463.5,35933.27557
464.0,35954.73171
464.5,35975.8961
465.0,35997.19093
465.5,36019.03844
466.0,36041.86082
466.5,36066.08029
467.0,36092.11907
467.5,36120.39937
468.0,36151.34341
468.5,36185.37339
469.0,36222.91154
469.5,36264.38007
470.0,36310.20118
470.5,36360.79711
471.0,36416.59005
471.5,36478.0022
472.0,36545.30855
472.5,36618.29172
473.0,36696.63147
473.5,36780.00758
474.0,36868.0998
474.5,36960.58792
475.0,37057.15169
475.5,37157.47088
476.0,37261.22526
476.5,37368.0946
477.0,37477.75866
477.5,37589.89722
478.0,37704.19004
478.5,37820.3169
479.0,37937.95754
479.5,38056.79176
480.0,38176.4993
480.5,38296.75995
481.0,38417.25346
481.5,38537.65961
482.0,38657.65816
482.5,38776.92888
483.0,38895.15155
483.5,39012.00592
484.0,39127.17176
484.5,39240.32884
485.0,39351.15694
485.5,39459.3724
486.0,39565.18905
486.5,39669.17964
487.0,39771.92487
487.5,39874.00543
488.0,39976.00202
488.5,40078.49533
489.0,40182.06605
489.5,40287.29489
490.0,40394.76254
490.5,40505.04969
491.0,40618.73704
491.5,40736.40529
492.0,40858.63512
492.5,40986.00724
493.0,41119.10233
493.5,41258.5011
494.0,41404.78424
494.5,41558.53244
495.0,41720.3264
495.5,41890.74682
496.0,42070.37439
496.5,42259.7898
497.0,42459.48245
497.5,42669.12949
498.0,42887.98228
498.5,43115.28842
499.0,43350.29553
499.5,43592.25122
500.0,43840.40309
500.5,44093.99876
501.0,44352.28583
501.5,44614.51191
502.0,44879.92461
502.5,45147.77154
503.0,45417.30031
503.5,45687.75853
504.0,45958.39381
504.5,46228.45375
505.0,46497.22786
505.5,46764.51962
506.0,47030.47746
506.5,47295.25615
507.0,47559.0105
507.5,47821.8953
508.0,48084.06534
508.5,48345.67541
509.0,48606.8803
509.5,48867.83481
510.0,49128.69374
510.5,49389.61186
511.0,49650.74398
511.5,49912.24488
512.0,50174.26937
512.5,50436.97222
513.0,50700.50825
513.5,50965.03222
514.0,51230.69895
514.5,51497.66322
515.0,51766.07982
515.5,52036.10355
516.0,52307.8892
516.5,52581.59156
517.0,52857.36543
517.5,53135.36559
518.0,53415.74684
518.5,53698.66397
519.0,53984.27178
519.5,54272.72505
520.0,54564.15876
520.5,54858.53301
521.0,55155.71681
521.5,55455.5784
522.0,55757.98602
522.5,56062.8079
523.0,56369.91227
523.5,56679.16737
524.0,56990.44143
524.5,57303.60269
525.0,57618.51939
525.5,57935.05975
526.0,58253.09202
526.5,58572.48443
527.0,58893.10521
527.5,59214.8226
528.0,59537.50483
528.5,59861.02015
529.0,60185.23677
529.5,60510.02295
530.0,60835.2469
530.5,61160.77688
531.0,61486.48111
531.5,61812.22783
532.0,62137.88527
532.5,62463.32167
533.0,62788.40526
533.5,63113.00428
534.0,63436.98696
534.5,63760.22154
535.0,64082.60629
535.5,64404.2729
536.0,64725.46233
536.5,65046.41617
537.0,65367.37599
537.5,65688.58338
538.0,66010.27992
538.5,66332.7072
539.0,66656.1068
539.5,66980.7203
540.0,67306.78928
540.5,67634.55533
541.0,67964.26004
541.5,68296.14498
542.0,68630.45173
542.5,68967.42189
543.0,69307.29703
543.5,69650.31874
544.0,69996.7286
544.5,70346.76819
545.0,70700.6791
545.5,71058.7029
546.0,71421.08119
546.5,71788.05555
547.0,72159.86755
547.5,72536.75879
548.0,72918.97084
548.5,73306.74529
549.0,73700.32372
549.5,74099.94771
550.0,74505.85886
550.5,74918.29873
551.0,75337.49592
551.5,75763.3447
552.0,76195.38416
552.5,76633.13623
553.0,77076.12281
553.5,77523.86582
554.0,77975.88717
554.5,78431.70878
555.0,78890.85255
555.5,79352.84041
556.0,79817.19427
556.5,80283.43604
557.0,80751.08763
557.5,81219.67096
558.0,81688.70794
558.5,82157.72049
559.0,82626.23052
559.5,83093.75994
560.0,83559.83067
560.5,84023.96462
561.0,84485.68371
561.5,84944.50984
562.0,85399.96494
562.5,85851.56952
563.0,86298.74093
563.5,86740.72388
564.0,87176.74668
564.5,87606.03762
565.0,88027.825
565.5,88441.33713
566.0,88845.80229
566.5,89240.44879
567.0,89624.50493
567.5,89997.199
568.0,90357.7593
568.5,90705.41413
569.0,91039.39179
569.5,91358.92058
570.0,91663.22879
570.5,91951.54523
571.0,92223.41946
571.5,92479.27369
572.0,92719.67711
572.5,92945.19888
573.0,93156.4082
573.5,93353.87424
574.0,93538.16619
574.5,93709.85323
575.0,93869.50453
575.5,94017.68928
576.0,94154.97666
576.5,94281.93585
577.0,94399.13604
577.5,94507.1434
578.0,94606.38542
578.5,94697.09516
579.0,94779.49117
579.5,94853.79199
580.0,94920.21615
580.5,94978.98221
581.0,95030.3087
581.5,95074.41416
582.0,95111.51714
582.5,95141.83617
583.0,95165.58981
583.5,95182.99658
584.0,95194.27504
584.5,95199.64372
585.0,95199.32117
585.5,95193.52593
586.0,95182.47654
586.5,95166.39153
587.0,95145.48947
587.5,95119.98887
588.0,95090.1083
588.5,95056.06628
589.0,95018.08136
589.5,94976.37208
590.0,94931.15699
590.5,94882.65462
591.0,94831.08353
591.5,94776.88432
592.0,94721.30249
592.5,94665.76581
593.0,94611.70205
593.5,94560.53901
594.0,94513.70446
594.5,94472.62618
595.0,94438.73194
595.5,94413.44953
596.0,94398.20673
596.5,94394.43131
597.0,94403.55106
597.5,94426.99375
598.0,94466.18716
598.5,94522.55908
599.0,94597.53728
599.5,94692.54954
600.0,94809.02364
600.5,94948.25652
601.0,95110.62804
601.5,95296.12575
602.0,95504.73577
602.5,95736.44417
603.0,95991.23705
603.5,96269.10049
604.0,96570.02058
604.5,96893.98343
605.0,97240.81522
605.5,97608.17469
606.0,97992.16006
606.5,98388.83522
607.0,98794.26401
607.5,99204.5103
608.0,99615.63797
608.5,100023.71086
609.0,100424.79286
609.5,100814.98624
610.0,101192.09244
610.5,101556.24699
611.0,101907.7549
611.5,102246.92116
612.0,102574.05076
612.5,102889.4487
613.0,103193.41997
613.5,103486.26956
614.0,103768.30246
614.5,104039.82368
615.0,104301.13819
615.5,104552.55101
616.0,104794.36711
616.5,105026.8915
617.0,105250.42916
617.5,105465.28217
618.0,105671.43027
618.5,105868.24338
619.0,106055.02357
619.5,106231.0729
620.0,106395.69344
620.5,106548.18727
621.0,106687.85644
621.5,106814.00302
622.0,106925.92908
622.5,107022.93668
623.0,107104.3279
623.5,107169.4048
624.0,107217.46945
624.5,107247.8288
625.0,107259.88885
625.5,107253.14759
626.0,107227.10651
626.5,107181.2671
627.0,107115.13084
627.5,107028.19924
628.0,106919.97377
628.5,106789.95593
629.0,106637.64721
629.5,106462.5491
630.0,106264.16308
630.5,106041.99066
631.0,105795.53331
631.5,105523.20592
632.0,105217.91386
632.5,104870.82049
633.0,104473.08849
633.5,104015.88053
634.0,103490.35929
634.5,102887.68745
635.0,102199.02768
635.5,101415.54267
636.0,100532.15249
636.5,99559.77476
637.0,98513.58388
637.5,97408.75428
638.0,96260.46039
638.5,95083.87665
639.0,93894.17748
639.5,92706.53731
640.0,91536.13058
640.5,90398.13172
641.0,89307.71465
641.5,88275.4898
642.0,87296.38656
642.5,86361.96874
643.0,85463.80017
643.5,84593.44466
644.0,83742.46605
644.5,82902.42814
645.0,82064.89477
645.5,81221.42975
646.0,80363.5969
646.5,79482.96004
647.0,78571.083
647.5,77619.5296
648.0,76619.86365
648.5,75563.64898
649.0,74442.44941
649.5,73247.82876
650.0,71971.71166
650.5,70615.56035
651.0,69191.11851
651.5,67710.63965
652.0,66186.37727
652.5,64630.5849
653.0,63055.51603
653.5,61473.42418
654.0,59896.56286
654.5,58337.18558
655.0,56807.54585
655.5,55319.89717
656.0,53886.49307
656.5,52519.16845
657.0,51221.8139
657.5,49991.21169
658.0,48823.89333
658.5,47716.39031
659.0,46665.23414
659.5,45666.95634
660.0,44718.08839
660.5,43815.16182
661.0,42954.70813
661.5,42133.25882
662.0,41347.34539
662.5,40593.49936
663.0,39868.25224
663.5,39168.13551
664.0,38489.6807
664.5,37829.41931
665.0,37183.88284
665.5,36549.6028
666.0,35923.1107
666.5,35301.20162
667.0,34683.26554
667.5,34070.16768
668.0,33462.79027
668.5,32862.01555
669.0,32268.72576
669.5,31683.80313
670.0,31108.12992
670.5,30542.58834
671.0,29988.06065
671.5,29445.42907
672.0,28915.57585
672.5,28399.38323
673.0,27897.73344
673.5,27411.50872
674.0,26941.59101
674.5,26488.53658
675.0,26051.95247
675.5,25631.27369
676.0,25225.9353
676.5,24835.37232
677.0,24459.01978
677.5,24096.31273
678.0,23746.6862
678.5,23409.57521
679.0,23084.41482
679.5,22770.64004
680.0,22467.68592
680.5,22174.98749
681.0,21891.97979
681.5,21618.09784
682.0,21352.77669
682.5,21095.45137
683.0,20845.55691
683.5,20602.52835
684.0,20365.80072
684.5,20134.80906
685.0,19908.98841
685.5,19687.77379
686.0,19470.60024
686.5,19256.9068
687.0,19046.34653
687.5,18838.88994
688.0,18634.53321
688.5,18433.27255
689.0,18235.10416
689.5,18040.02423
690.0,17848.02897
690.5,17659.11458
691.0,17473.27724
691.5,17290.51318
692.0,17110.81857
692.5,16934.18963
693.0,16760.62255
693.5,16590.11353
694.0,16422.65877
694.5,16258.25447
695.0,16096.89683
695.5,15938.58205
696.0,15783.30633
696.5,15631.06586
697.0,15481.85685
697.5,15335.67549
698.0,15192.51799
698.5,15052.38054
699.0,14915.25935
699.5,14781.1506
700.0,14650.05051
700.5,14521.95527
701.0,14396.86109
701.5,14274.76415
702.0,14155.66066
702.5,14039.54682
703.0,13926.41882
703.5,13816.27222
704.0,13709.07747
704.5,13604.77258
705.0,13503.29342
705.5,13404.57585
706.0,13308.55574
706.5,13215.16895
707.0,13124.35134
707.5,13036.03879
708.0,12950.16716
708.5,12866.6723
709.0,12785.49009
709.5,12706.5564
710.0,12629.80708
710.5,12555.178
711.0,12482.60502
711.5,12412.02402
712.0,12343.37085
712.5,12276.58138
713.0,12211.59148
713.5,12148.337
714.0,12086.75382
714.5,12026.7778
715.0,11968.3448
715.5,11911.3907
716.0,11855.85134
716.5,11801.66261
717.0,11748.76036
717.5,11697.08045
718.0,11646.55877
718.5,11597.13115
719.0,11548.73348
719.5,11501.30162
720.0,11454.77143
720.5,11409.07878
721.0,11364.15953
721.5,11319.94955
722.0,11276.3847
722.5,11233.40085
723.0,11190.93386
723.5,11148.91959
724.0,11107.29392
724.5,11065.9927
725.0,11024.9518
725.5,10984.10709
726.0,10943.39442
726.5,10902.75957
727.0,10862.19135
727.5,10821.69028
728.0,10781.25691
728.5,10740.89177
729.0,10700.59539
729.5,10660.3683
730.0,10620.21105
730.5,10580.12415
731.0,10540.10815
731.5,10500.16358
732.0,10460.29097
732.5,10420.49086
733.0,10380.76378
733.5,10341.11026
734.0,10301.53083
734.5,10262.02604
735.0,10222.5964
735.5,10183.24247
736.0,10143.96476
736.5,10104.76382
737.0,10065.64017
737.5,10026.59436
738.0,9987.6269
738.5,9948.73835
739.0,9909.92923
739.5,9871.20007
740.0,9832.5514
740.5,9793.98377
741.0,9755.49771
741.5,9717.09374
742.0,9678.7724
742.5,9640.53423
743.0,9602.37975
743.5,9564.30951
744.0,9526.32403
744.5,9488.42385
745.0,9450.60951
745.5,9412.88153
746.0,9375.24044
746.5,9337.68679
747.0,9300.22111
747.5,9262.84393
748.0,9225.55578
748.5,9188.35719
749.0,9151.24871
749.5,9114.23085
750.0,9077.30417
750.5,9040.46918
751.0,9003.72643
751.5,8967.07645
752.0,8930.51976
752.5,8894.05691
753.0,8857.68843
753.5,8821.41485
754.0,8785.2367
754.5,8749.15453
755.0,8713.17044
755.5,8677.29092
756.0,8641.52315
756.5,8605.87432
757.0,8570.35165
757.5,8534.96231
758.0,8499.71352
758.5,8464.61247
759.0,8429.66634
759.5,8394.88235
760.0,8360.26769
760.5,8325.82954
761.0,8291.57512
761.5,8257.51162
762.0,8223.64623
762.5,8189.98615
763.0,8156.53857
763.5,8123.3107
764.0,8090.30973
764.5,8057.54286
765.0,8025.01728
765.5,7992.74019
766.0,7960.71878
766.5,7928.96026
767.0,7897.47183
767.5,7866.26066
768.0,7835.33398
768.5,7804.69896
769.0,7774.36281
769.5,7744.33272
770.0,7714.61589
770.5,7685.21952
771.0,7656.15081
771.5,7627.41694
772.0,7599.02512
772.5,7570.98255
773.0,7543.29642
773.5,7515.97392
774.0,7489.02226
774.5,7462.44862
775.0,7436.26022
775.5,7410.46424
776.0,7385.06787
776.5,7360.07833
777.0,7335.5028
777.5,7311.34848
778.0,7287.62257
778.5,7264.33226
779.0,7241.48475
779.5,7219.08724
