735.98,1E-6
737.56,1E-6
739.13,1E-6
740.71,1E-6
742.29,1E-6
743.86,1E-6
745.44,1E-6
747.01,1E-6
748.59,1E-6
750.16,1E-6
751.73,1E-6
753.31,1E-6
754.88,1E-6
756.46,1E-6
758.03,1E-6
759.6,1E-6
761.18,1E-6
762.75,1E-6
764.32,1E-6
765.9,1E-6
767.47,1E-6
769.04,1E-6
770.61,1E-6
772.19,0
773.76,0
775.33,0
776.9,0
778.47,0
780.04,0
781.62,0
783.19,0
784.76,0
786.33,0
787.9,0
789.47,0
791.04,0
792.61,0
794.18,0
795.75,0
797.32,0
798.89,0
800.46,0
802.02,0
803.59,0
805.16,0
806.73,0
808.3,0
809.87,0
811.43,0
813,0
814.57,0
816.14,0
817.7,0
819.27,0
820.84,0
822.4,0
823.97,0
825.54,0
827.1,0
828.67,0
830.23,0
831.8,0
833.36,0
834.93,0
836.49,0
838.06,0
839.62,0
841.19,0
842.75,0
844.31,0
845.88,0
847.44,0
849,0
850.57,0
852.13,0
853.69,0
855.25,0
856.82,0
858.38,0
859.94,0
861.5,0
863.06,0
864.62,0
866.18,0
867.75,0
869.31,0
870.87,0
872.43,0
873.99,0
875.55,0
877.11,0
878.66,0
880.22,0
881.78,0
883.34,0
884.9,0
886.46,0
888.02,0
889.57,0
891.13,0
892.69,0
894.25,0
895.8,0
897.36,0
898.92,0
900.47,0
902.03,0
903.59,0
905.14,0
906.7,0
908.25,0
909.81,0
911.36,0
912.92,0
914.47,0
916.02,0
917.58,0
919.13,0
920.69,0
922.24,0
923.79,0
925.35,0
926.9,0
928.45,0
930,0
931.55,0
933.11,0
934.66,0
936.21,0
937.76,0
939.31,0
940.86,0
942.41,0
943.96,0
945.51,0
947.06,0
948.61,0
950.16,0
951.71,0
953.26,0
954.81,0
956.35,0
957.9,0
959.45,0
961,0
962.55,0
964.09,0
965.64,0
967.19,0
968.73,0
970.28,0
971.82,0
973.37,0
974.92,0
976.46,0
978.01,0
979.55,0
981.09,0
982.64,0
984.18,0
985.73,0
987.27,0
988.81,0
990.36,0
991.9,0
993.44,0
994.98,0
996.53,0
998.07,0
999.61,0
1012.27,0
1015.67,0
1019.08,0
1022.48,0
1025.88,0
1029.29,0
1032.69,0
1036.09,0
1039.5,0
1042.9,0
1046.3,0
1049.7,0
1053.11,0
1056.51,0
1059.91,0
1063.31,0
1066.71,0
1070.11,0
1073.52,0
1076.92,0
1080.32,0
1083.72,0
1087.12,0
1090.52,0
1093.92,0
1097.33,0
1100.73,0
1104.13,0
1107.53,0
1110.93,0
1114.33,0
1117.73,0
1121.13,0
1124.53,0
1127.94,0
1131.34,0
1134.74,0
1138.14,0
1141.54,0
1144.94,0
1148.34,0
1151.75,0
1155.15,0
1158.55,0
1161.95,0
1165.35,0
1168.76,0
1172.16,0
1175.56,0
1178.96,0
1182.37,0
1185.77,0
1189.17,0
1192.58,0
1195.98,0
1199.38,0
1202.79,0
1206.19,0
1209.6,0
1213,0
1216.41,0
1219.81,0
1223.22,0
1226.62,0
1230.03,0
1233.43,0
1236.84,0
1240.25,0
1243.65,0
1247.06,0
1250.47,0
1253.88,0
1257.29,0
1260.69,0
1264.1,0
1267.51,0
1270.92,0
1274.33,0
1277.74,0
1281.15,0
1284.56,0
1287.98,0
1291.39,0
1294.8,0
1298.21,0
1301.63,0
1305.04,0
1308.45,0
1311.87,0
1315.28,0
1318.7,0
1322.12,0
1325.53,0
1328.95,0
1332.37,0
1335.78,0
1339.2,0
1342.62,0
1346.04,0
1349.46,0
1352.88,0
1356.3,0
1359.72,0
1363.15,0
1366.57,0
1369.99,0
1373.42,0
1376.84,0
1380.27,0
1383.69,0
1387.12,0
1390.55,0
1393.97,0
1397.4,0
1400.83,0
1404.26,0
1407.69,0
1411.12,0
1414.55,0
1417.98,0
1421.42,0
1424.85,0
1428.29,0
1431.72,0
1435.16,0
1438.59,0
1442.03,0
1445.47,0
1448.91,0
1452.35,0
1455.79,0
1459.23,0
1462.67,0
1466.11,0
1469.56,0
1473,0
1476.44,0
1479.89,0
1483.34,0
1486.78,0
1490.23,0
1493.68,0
1497.13,0
1500.58,0
1504.04,0
1507.49,0
1510.94,0
1514.4,0
1517.85,0
1521.31,0
1524.76,0
1528.22,0
1531.68,0
1535.14,0
1538.6,0
1542.06,0
1545.53,0
1548.99,0
1552.46,0
1555.92,0
1559.39,0
1562.86,0
1566.33,0
1569.8,0
1573.27,0
1576.74,0
1580.21,0
1583.69,0
1587.16,0
1590.64,0
1594.11,0
1597.59,0
1601.07,0
1604.55,0
1608.03,0
1611.52,0
1615,0
1618.49,0
1621.97,0
1625.46,0
1628.95,0
1632.44,0
1635.93,0
1639.42,0
1642.91,0
1646.41,0
1649.9,0
1653.4,0
1656.9,0
1660.39,0
1663.89,0
1667.4,0
1670.9,0
1674.4,0
1677.91,0
1681.41,0
1684.92,0
